Algorithm	File	Fitness	Time(ms)
AGE-posicion	GKD-b_29_n100_m30	362.563	241
AGE-posicion	GKD-b_30_n100_m30	334.464	244
AGE-posicion	GKD-b_31_n125_m12	59.6527	178
AGE-posicion	GKD-b_32_n125_m12	56.462	181
AGE-posicion	GKD-b_33_n125_m12	73.6683	185
AGE-posicion	GKD-b_34_n125_m12	63.8646	191
AGE-posicion	GKD-b_35_n125_m12	85.5248	180
AGE-posicion	GKD-b_36_n125_m37	407.338	262
AGE-posicion	GKD-b_37_n125_m37	510.725	269
AGE-posicion	GKD-b_38_n125_m37	525.125	270
AGE-posicion	GKD-b_39_n125_m37	438.433	297
AGE-posicion	GKD-b_40_n125_m37	512.706	293
AGE-posicion	GKD-b_41_n150_m15	71.631	260
AGE-posicion	GKD-b_42_n150_m15	105.855	197
AGE-posicion	GKD-b_43_n150_m15	103.009	208
AGE-posicion	GKD-b_44_n150_m15	71.1392	222
AGE-posicion	GKD-b_45_n150_m15	109.962	213
AGE-posicion	GKD-b_46_n150_m45	712.5	328
AGE-posicion	GKD-b_47_n150_m45	624.955	317
AGE-posicion	GKD-b_48_n150_m45	560.679	319
AGE-posicion	GKD-b_49_n150_m45	680.78	314
AGE-posicion	GKD-b_50_n150_m45	763.278	371
AM-(10,1.0)	GKD-b_1_n25_m2	0	125
AM-(10,1.0)	GKD-b_2_n25_m2	0	121
AM-(10,1.0)	GKD-b_3_n25_m2	0	122
AM-(10,1.0)	GKD-b_4_n25_m2	0	136
AM-(10,1.0)	GKD-b_5_n25_m2	0	127
AM-(10,1.0)	GKD-b_6_n25_m7	14.9192	242
AM-(10,1.0)	GKD-b_7_n25_m7	31.3835	234
AM-(10,1.0)	GKD-b_8_n25_m7	16.7612	210
AM-(10,1.0)	GKD-b_9_n25_m7	17.0692	199
AM-(10,1.0)	GKD-b_10_n25_m7	25.6434	219
AM-(10,1.0)	GKD-b_11_n50_m5	6.06936	341
AM-(10,1.0)	GKD-b_12_n50_m5	5.97429	304
AM-(10,1.0)	GKD-b_13_n50_m5	4.11752	338
AM-(10,1.0)	GKD-b_14_n50_m5	5.27045	404
AM-(10,1.0)	GKD-b_15_n50_m5	4.73005	319
AM-(10,1.0)	GKD-b_16_n50_m15	47.7047	887
AM-(10,1.0)	GKD-b_17_n50_m15	48.1076	967
AM-(10,1.0)	GKD-b_18_n50_m15	53.718	1032
AM-(10,1.0)	GKD-b_19_n50_m15	47.4911	1116
AM-(10,1.0)	GKD-b_20_n50_m15	53.4117	780
AM-(10,1.0)	GKD-b_21_n100_m10	19.9208	935
AM-(10,1.0)	GKD-b_22_n100_m10	21.6122	959
AM-(10,1.0)	GKD-b_23_n100_m10	22.1729	932
AM-(10,1.0)	GKD-b_24_n100_m10	20.2204	1183
AM-(10,1.0)	GKD-b_25_n100_m10	21.9026	1127
AM-(10,1.0)	GKD-b_26_n100_m30	171.515	4851
AM-(10,1.0)	GKD-b_27_n100_m30	133.32	4521
AM-(10,1.0)	GKD-b_28_n100_m30	109.268	4147
AM-(10,1.0)	GKD-b_29_n100_m30	157.214	4174
AM-(10,1.0)	GKD-b_30_n100_m30	143.386	4259
AM-(10,1.0)	GKD-b_31_n125_m12	19.5529	1615
AM-(10,1.0)	GKD-b_32_n125_m12	27.4976	1674
AM-(10,1.0)	GKD-b_33_n125_m12	26.3026	1595
AM-(10,1.0)	GKD-b_34_n125_m12	43.701	1571
AM-(10,1.0)	GKD-b_35_n125_m12	23.2696	1544
AM-(10,1.0)	GKD-b_36_n125_m37	155.62	7994
AM-(10,1.0)	GKD-b_37_n125_m37	235.271	8711
AM-(10,1.0)	GKD-b_38_n125_m37	203.519	9103
AM-(10,1.0)	GKD-b_39_n125_m37	190.432	9911
AM-(10,1.0)	GKD-b_40_n125_m37	200.584	7677
AM-(10,1.0)	GKD-b_41_n150_m15	35.9051	2477
AM-(10,1.0)	GKD-b_42_n150_m15	38.348	2419
AM-(10,1.0)	GKD-b_43_n150_m15	34.2851	2404
AM-(10,1.0)	GKD-b_44_n150_m15	37.201	2354
AM-(10,1.0)	GKD-b_45_n150_m15	36.6193	2364
AM-(10,1.0)	GKD-b_46_n150_m45	251.897	12310
AM-(10,1.0)	GKD-b_47_n150_m45	244.705	12353
AM-(10,1.0)	GKD-b_48_n150_m45	293.406	12393
AM-(10,1.0)	GKD-b_49_n150_m45	249.117	12534
AM-(10,1.0)	GKD-b_50_n150_m45	292.827	12272
AM-(10,0.1)	GKD-b_1_n25_m2	0	123
AM-(10,0.1)	GKD-b_2_n25_m2	0	114
AM-(10,0.1)	GKD-b_3_n25_m2	0	105
AM-(10,0.1)	GKD-b_4_n25_m2	0	111
AM-(10,0.1)	GKD-b_5_n25_m2	0	99
AM-(10,0.1)	GKD-b_6_n25_m7	14.4106	126
AM-(10,0.1)	GKD-b_7_n25_m7	18.9501	128
