Algorithm	File	Fitness	Time(ms)
AGE-posicion	GKD-b_40_n125_m37	512.706	315
AGE-posicion	GKD-b_41_n150_m15	71.631	243
AGE-posicion	GKD-b_42_n150_m15	105.855	198
AGE-posicion	GKD-b_43_n150_m15	103.009	193
AGE-posicion	GKD-b_44_n150_m15	71.1392	203
AGE-posicion	GKD-b_45_n150_m15	109.962	197
AGE-posicion	GKD-b_46_n150_m45	712.5	326
AGE-posicion	GKD-b_47_n150_m45	624.955	343
AGE-posicion	GKD-b_48_n150_m45	560.679	445
AGE-posicion	GKD-b_49_n150_m45	680.78	467
AGE-posicion	GKD-b_50_n150_m45	763.278	447
AM-(10,1.0)	GKD-b_1_n25_m2	0	134
AM-(10,1.0)	GKD-b_2_n25_m2	0	136
AM-(10,1.0)	GKD-b_3_n25_m2	0	134
AM-(10,1.0)	GKD-b_4_n25_m2	0	140
AM-(10,1.0)	GKD-b_5_n25_m2	0	125
AM-(10,1.0)	GKD-b_6_n25_m7	14.9192	222
AM-(10,1.0)	GKD-b_7_n25_m7	31.3835	244
AM-(10,1.0)	GKD-b_8_n25_m7	16.7612	271
AM-(10,1.0)	GKD-b_9_n25_m7	17.0692	258
AM-(10,1.0)	GKD-b_10_n25_m7	25.6434	253
AM-(10,1.0)	GKD-b_11_n50_m5	6.06936	311
AM-(10,1.0)	GKD-b_12_n50_m5	5.97429	266
AM-(10,1.0)	GKD-b_13_n50_m5	4.11752	265
AM-(10,1.0)	GKD-b_14_n50_m5	5.27045	294
AM-(10,1.0)	GKD-b_15_n50_m5	4.73005	321
AM-(10,1.0)	GKD-b_16_n50_m15	47.7047	888
AM-(10,1.0)	GKD-b_17_n50_m15	48.1076	998
AM-(10,1.0)	GKD-b_18_n50_m15	53.718	804
AM-(10,1.0)	GKD-b_19_n50_m15	47.4911	915
AM-(10,1.0)	GKD-b_20_n50_m15	53.4117	772
AM-(10,1.0)	GKD-b_21_n100_m10	19.9208	1254
AM-(10,1.0)	GKD-b_22_n100_m10	21.6122	1025
AM-(10,1.0)	GKD-b_23_n100_m10	22.1729	1145
AM-(10,1.0)	GKD-b_24_n100_m10	20.2204	1158
AM-(10,1.0)	GKD-b_25_n100_m10	21.9026	1229
AM-(10,1.0)	GKD-b_26_n100_m30	171.515	4627
AM-(10,1.0)	GKD-b_27_n100_m30	133.32	4351
AM-(10,1.0)	GKD-b_28_n100_m30	109.268	4521
AM-(10,1.0)	GKD-b_29_n100_m30	157.214	4082
AM-(10,1.0)	GKD-b_30_n100_m30	143.386	4243
AM-(10,1.0)	GKD-b_31_n125_m12	19.5529	1517
AM-(10,1.0)	GKD-b_32_n125_m12	27.4976	1573
AM-(10,1.0)	GKD-b_33_n125_m12	26.3026	1765
AM-(10,1.0)	GKD-b_34_n125_m12	43.701	1720
AM-(10,1.0)	GKD-b_35_n125_m12	23.2696	1682
AM-(10,1.0)	GKD-b_36_n125_m37	155.62	8394
AM-(10,1.0)	GKD-b_37_n125_m37	235.271	8160
AM-(10,1.0)	GKD-b_38_n125_m37	203.519	8690
AM-(10,1.0)	GKD-b_39_n125_m37	190.432	9103
AM-(10,1.0)	GKD-b_40_n125_m37	200.584	8513
AM-(10,1.0)	GKD-b_41_n150_m15	35.9051	2822
AM-(10,1.0)	GKD-b_42_n150_m15	38.348	2514
